SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
250 ; 969301.000000 ; 106074 ; 937741.000000 ; 124500
250 ; 1085555.000000 ; 106074 ; 998172.000000 ; 124500
250 ; 969442.000000 ; 106074 ; 939140.000000 ; 124500
250 ; 967889.000000 ; 106074 ; 961636.000000 ; 124500
250 ; 962645.000000 ; 106074 ; 937620.000000 ; 124500
250 ; 964596.000000 ; 106074 ; 941782.000000 ; 124500
250 ; 962781.000000 ; 106074 ; 938260.000000 ; 124500
250 ; 965069.000000 ; 106074 ; 962704.000000 ; 124500
250 ; 960798.000000 ; 106074 ; 940601.000000 ; 124500
250 ; 961732.000000 ; 106074 ; 936850.000000 ; 124500
250 ; 968641.000000 ; 106074 ; 937259.000000 ; 124500
