SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
10 ; 10309.000000 ; 156 ; 10213.000000 ; 180
10 ; 8355.000000 ; 156 ; 7036.000000 ; 180
10 ; 6230.000000 ; 156 ; 4430.000000 ; 180
10 ; 5723.000000 ; 156 ; 4099.000000 ; 180
10 ; 5563.000000 ; 156 ; 4005.000000 ; 180
10 ; 5878.000000 ; 156 ; 4069.000000 ; 180
10 ; 5553.000000 ; 156 ; 3919.000000 ; 180
10 ; 5438.000000 ; 156 ; 3975.000000 ; 180
10 ; 5443.000000 ; 156 ; 3899.000000 ; 180
10 ; 5618.000000 ; 156 ; 3979.000000 ; 180
10 ; 5387.000000 ; 156 ; 3994.000000 ; 180
