SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
150 ; 364706.000000 ; 37950 ; 356121.000000 ; 44700
150 ; 360581.000000 ; 37950 ; 354240.000000 ; 44700
150 ; 358977.000000 ; 37950 ; 372301.000000 ; 44700
150 ; 517434.000000 ; 37950 ; 386691.000000 ; 44700
150 ; 364831.000000 ; 37950 ; 353833.000000 ; 44700
150 ; 358131.000000 ; 37950 ; 354496.000000 ; 44700
150 ; 360590.000000 ; 37950 ; 353900.000000 ; 44700
150 ; 358323.000000 ; 37950 ; 353291.000000 ; 44700
150 ; 359030.000000 ; 37950 ; 354944.000000 ; 44700
150 ; 363435.000000 ; 37950 ; 353065.000000 ; 44700
150 ; 358379.000000 ; 37950 ; 352799.000000 ; 44700
