SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
25 ; 48332.000000 ; 1043 ; 46568.000000 ; 1200
25 ; 43190.000000 ; 1043 ; 36089.000000 ; 1200
25 ; 41536.000000 ; 1043 ; 30275.000000 ; 1200
25 ; 40679.000000 ; 1043 ; 27674.000000 ; 1200
25 ; 40042.000000 ; 1043 ; 26015.000000 ; 1200
25 ; 39421.000000 ; 1043 ; 26221.000000 ; 1200
25 ; 39772.000000 ; 1043 ; 25615.000000 ; 1200
25 ; 39652.000000 ; 1043 ; 25614.000000 ; 1200
25 ; 39532.000000 ; 1043 ; 25554.000000 ; 1200
25 ; 39020.000000 ; 1043 ; 25149.000000 ; 1200
25 ; 38690.000000 ; 1043 ; 25183.000000 ; 1200
