SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
200 ; 626023.000000 ; 67768 ; 619796.000000 ; 79600
200 ; 624180.000000 ; 67768 ; 613512.000000 ; 79600
200 ; 621408.000000 ; 67768 ; 612979.000000 ; 79600
200 ; 765802.000000 ; 67768 ; 642220.000000 ; 79600
200 ; 623568.000000 ; 67768 ; 613217.000000 ; 79600
200 ; 624048.000000 ; 67768 ; 610752.000000 ; 79600
200 ; 622901.000000 ; 67768 ; 613581.000000 ; 79600
200 ; 626499.000000 ; 67768 ; 612573.000000 ; 79600
200 ; 622494.000000 ; 67768 ; 612529.000000 ; 79600
200 ; 623603.000000 ; 67768 ; 613426.000000 ; 79600
200 ; 646793.000000 ; 67768 ; 614895.000000 ; 79600
