SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
650 ; 6443170.000000 ; 716678 ; 6409748.000000 ; 843700
650 ; 6421146.000000 ; 716678 ; 6330923.000000 ; 843700
650 ; 6393330.000000 ; 716678 ; 6366702.000000 ; 843700
650 ; 6397941.000000 ; 716678 ; 6342722.000000 ; 843700
650 ; 6408627.000000 ; 716678 ; 6339755.000000 ; 843700
650 ; 6413608.000000 ; 716678 ; 6339617.000000 ; 843700
650 ; 6390816.000000 ; 716678 ; 6363862.000000 ; 843700
650 ; 6464931.000000 ; 716678 ; 6359077.000000 ; 843700
650 ; 6425144.000000 ; 716678 ; 6354627.000000 ; 843700
650 ; 6405416.000000 ; 716678 ; 6341372.000000 ; 843700
650 ; 6410462.000000 ; 716678 ; 6350585.000000 ; 843700
