SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
1000 ; 15347719.000000 ; 1699172 ; 15219224.000000 ; 1998000
1000 ; 15242766.000000 ; 1699172 ; 15184449.000000 ; 1998000
1000 ; 15332960.000000 ; 1699172 ; 15167654.000000 ; 1998000
1000 ; 15259788.000000 ; 1699172 ; 15168707.000000 ; 1998000
1000 ; 15228148.000000 ; 1699172 ; 15193360.000000 ; 1998000
1000 ; 15353445.000000 ; 1699172 ; 15172953.000000 ; 1998000
1000 ; 15240032.000000 ; 1699172 ; 15150717.000000 ; 1998000
1000 ; 15253991.000000 ; 1699172 ; 15168344.000000 ; 1998000
1000 ; 15291218.000000 ; 1699172 ; 15182189.000000 ; 1998000
1000 ; 15283982.000000 ; 1699172 ; 15188286.000000 ; 1998000
1000 ; 15287794.000000 ; 1699172 ; 15573486.000000 ; 1998000
