SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
400 ; 2436925.000000 ; 271616 ; 2373122.000000 ; 319200
400 ; 2426962.000000 ; 271616 ; 2395204.000000 ; 319200
400 ; 2430983.000000 ; 271616 ; 2363056.000000 ; 319200
400 ; 2447718.000000 ; 271616 ; 2365819.000000 ; 319200
400 ; 2428158.000000 ; 271616 ; 2375047.000000 ; 319200
400 ; 2424311.000000 ; 271616 ; 2370225.000000 ; 319200
400 ; 2426002.000000 ; 271616 ; 2371669.000000 ; 319200
400 ; 2428809.000000 ; 271616 ; 2362757.000000 ; 319200
400 ; 2419854.000000 ; 271616 ; 2357480.000000 ; 319200
400 ; 2426904.000000 ; 271616 ; 2366456.000000 ; 319200
400 ; 2426232.000000 ; 271616 ; 2367745.000000 ; 319200
