SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
500 ; 3828413.000000 ; 424416 ; 3738179.000000 ; 499000
500 ; 3783673.000000 ; 424416 ; 3699430.000000 ; 499000
500 ; 3798034.000000 ; 424416 ; 3710353.000000 ; 499000
500 ; 3785713.000000 ; 424416 ; 3705120.000000 ; 499000
500 ; 3776994.000000 ; 424416 ; 3704158.000000 ; 499000
500 ; 3777721.000000 ; 424416 ; 3706089.000000 ; 499000
500 ; 3775270.000000 ; 424416 ; 3710755.000000 ; 499000
500 ; 3778583.000000 ; 424416 ; 3712317.000000 ; 499000
500 ; 3784168.000000 ; 424416 ; 3706251.000000 ; 499000
500 ; 3777100.000000 ; 424416 ; 3707599.000000 ; 499000
500 ; 3776022.000000 ; 424416 ; 3726189.000000 ; 499000
