SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
1500 ; 34842937.000000 ; 3823912 ; 34770569.000000 ; 4497000
1500 ; 34648779.000000 ; 3823912 ; 34827256.000000 ; 4497000
1500 ; 34594686.000000 ; 3823912 ; 34820690.000000 ; 4497000
1500 ; 34694155.000000 ; 3823912 ; 34725833.000000 ; 4497000
1500 ; 34624115.000000 ; 3823912 ; 34769626.000000 ; 4497000
1500 ; 35220953.000000 ; 3823912 ; 34960827.000000 ; 4497000
1500 ; 34583757.000000 ; 3823912 ; 34879380.000000 ; 4497000
1500 ; 34696076.000000 ; 3823912 ; 34755912.000000 ; 4497000
1500 ; 34645852.000000 ; 3823912 ; 34844157.000000 ; 4497000
1500 ; 34604203.000000 ; 3823912 ; 34735837.000000 ; 4497000
1500 ; 34748539.000000 ; 3823912 ; 34812910.000000 ; 4497000
