SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
100 ; 180254.000000 ; 16880 ; 157359.000000 ; 19800
100 ; 158512.000000 ; 16880 ; 153859.000000 ; 19800
100 ; 156669.000000 ; 16880 ; 152775.000000 ; 19800
100 ; 155935.000000 ; 16880 ; 152958.000000 ; 19800
100 ; 155642.000000 ; 16880 ; 152559.000000 ; 19800
100 ; 181275.000000 ; 16880 ; 152945.000000 ; 19800
100 ; 156038.000000 ; 16880 ; 151568.000000 ; 19800
100 ; 155415.000000 ; 16880 ; 150627.000000 ; 19800
100 ; 155238.000000 ; 16880 ; 151737.000000 ; 19800
100 ; 154983.000000 ; 16880 ; 151308.000000 ; 19800
100 ; 155266.000000 ; 16880 ; 151802.000000 ; 19800
