SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
800 ; 9809064.000000 ; 1087036 ; 9972460.000000 ; 1278400
800 ; 9821959.000000 ; 1087036 ; 9984694.000000 ; 1278400
800 ; 10181125.000000 ; 1087036 ; 10155113.000000 ; 1278400
800 ; 9876532.000000 ; 1087036 ; 10028530.000000 ; 1278400
800 ; 9873396.000000 ; 1087036 ; 10010942.000000 ; 1278400
800 ; 9836500.000000 ; 1087036 ; 10005752.000000 ; 1278400
800 ; 9824959.000000 ; 1087036 ; 9950167.000000 ; 1278400
800 ; 9813411.000000 ; 1087036 ; 9969076.000000 ; 1278400
800 ; 9806964.000000 ; 1087036 ; 9965393.000000 ; 1278400
800 ; 9796574.000000 ; 1087036 ; 9948831.000000 ; 1278400
800 ; 9787403.000000 ; 1087036 ; 10076326.000000 ; 1278400
