SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
75 ; 116204.000000 ; 9473 ; 113295.000000 ; 11100
75 ; 90652.000000 ; 9473 ; 87887.000000 ; 11100
75 ; 89457.000000 ; 9473 ; 86322.000000 ; 11100
75 ; 89131.000000 ; 9473 ; 86222.000000 ; 11100
75 ; 88631.000000 ; 9473 ; 85860.000000 ; 11100
75 ; 88631.000000 ; 9473 ; 84933.000000 ; 11100
75 ; 87970.000000 ; 9473 ; 84053.000000 ; 11100
75 ; 88226.000000 ; 9473 ; 84014.000000 ; 11100
75 ; 87861.000000 ; 9473 ; 83683.000000 ; 11100
75 ; 87833.000000 ; 9473 ; 83737.000000 ; 11100
75 ; 93172.000000 ; 9473 ; 83810.000000 ; 11100
