SIZE ; List time (ns) ; List count ; Matrix time (ns) ; Matrix count
300 ; 1373680.000000 ; 152498 ; 1344432.000000 ; 179400
300 ; 1374571.000000 ; 152498 ; 1345490.000000 ; 179400
300 ; 1376596.000000 ; 152498 ; 1365820.000000 ; 179400
300 ; 1375765.000000 ; 152498 ; 1340405.000000 ; 179400
300 ; 1377953.000000 ; 152498 ; 1340261.000000 ; 179400
300 ; 1371919.000000 ; 152498 ; 1369662.000000 ; 179400
300 ; 1367414.000000 ; 152498 ; 1339549.000000 ; 179400
300 ; 1371754.000000 ; 152498 ; 1344730.000000 ; 179400
300 ; 1370170.000000 ; 152498 ; 1369664.000000 ; 179400
300 ; 1372471.000000 ; 152498 ; 1344687.000000 ; 179400
300 ; 1383678.000000 ; 152498 ; 1354717.000000 ; 179400
